37.6,0.58
38,0.53
21.6,0.11
31.2,0.35
38.3,0.46
30.5,0.32
30.7,0.32
22.9,0.13
22.9,0.16
37.8,0.55
38.4,0.62
40.4,0.74
37,0.5
24.1,0.15
31.6,0.32
29.7,0.28
21.8,0.12
34.4,0.48
43.5,0.87
31.4,0.34
28.6,0.27
20.8,0.1
22.3,0.12
42.4,0.77
45.7,0.95
39.9,0.69
44.6,0.93
23.6,0.16
22,0.11
19.6,0.1
28,0.22
21.9,0.12
21.5,0.12
22.9,0.13
21.4,0.11
34.5,0.56
31.3,0.51
29.1,0.36
29.7,0.46
34.5,0.56
29,0.35
38.4,0.86
25.8,0.28
32.2,0.46
28.4,0.35
29.5,0.36
32.1,0.45
42,0.98
36.6,0.7
28.2,0.34
40.5,0.93
35.5,0.64
37.5,0.77
33.2,0.58
34.8,0.65
32.3,0.46
32.5,0.48
40.9,0.84
39,0.85
37.1,0.77
39.7,0.89
40.8,0.97
26.7,0.16
30.9,0.3
21.3,0.11
20.7,0.1
25.9,0.18
26,0.22
27.3,0.23
22.3,0.13
28.8,0.27
20.3,0.1
23.5,0.15
21.1,0.11
26.8,0.13
23,0.1
20.4,0.09
28.2,0.27
34.1,0.45
40.2,0.82
42.1,0.76
34.1,0.45
35.5,0.51
31.8,0.35
34.8,0.5
36.4,0.55
37.2,0.58
34.9,0.51
30.7,0.33
36.2,0.51
39.8,0.74
24.5,0.17
26,0.18
38.3,0.71
33.1,0.51
33.9,0.48
43.2,0.92
37.46,0.61
34.42,0.56
32.38,0.43
38.25,0.63
35.48,0.61
40.64,0.78
30.01,0.35
36.41,0.57
36.53,0.66
36.7,0.52
34.8,0.57
39.6,0.81
35.25,0.55
35.84,0.6
34.92,0.51
40,0.8
37.19,0.66
34.55,0.62
43.62,1.13
39.56,0.73
39.74,1.02
34.85,0.54
31.23,0.43
45.21,1.15
31.04,0.52
41.44,0.96
38.31,0.72
42.21,1.04
36.32,0.7
37.18,0.72
24.49,0.19
22.58,0.19
40.5,0.97
37.4,0.77
32.7,0.56
38.3,0.83
37,0.69
39.3,0.84
40.3,0.85
34.5,0.59
22.9,0.16
21.3,0.17
23.2,0.15
25.8,0.24
24.5,0.22
21.3,0.14
23.7,0.18
18.2,0.09
16.6,0.06
16.3,0.07
17.3,0.07
16,0.06
14.4,0.03
55,1.76
50.4,1.44
49.4,1.32
51.2,1.41
61.4,2.05
52.1,1.54
54,1.17
51.3,1.05
53.6,1.46
34.9,0.4
48,1.02
