42.6,1.01
42.9,1.12
43.7,1.07
44.1,1.11
44.8,1.17
45,1.19
45.2,1.12
44.7,1.2
45.8,1.19
46.4,1.35
46.1,1.44
36.2,0.57
38.3,0.78
43.1,0.91
43.2,0.9
45.6,1.03
46.7,1.11
47.7,1.2
48.1,1.42
49.2,1.08
49.7,1.41
42.9,0.96
45.9,1.1
48.1,1.19
35.6,0.48
38.4,0.6
38.8,0.58
39.6,0.71
39.8,0.75
41.3,0.93
41.6,0.78
42.1,0.77
42.6,0.67
42.6,0.94
42.7,0.78
43,0.73
44.2,1.05
44.3,0.91
44.6,0.84
45,0.83
45.2,0.95
45.2,1.03
45.5,1.01
45.9,1.1
45.9,1.01
46.2,1.11
46.3,1.03
46.4,1.36
46.8,0.99
46.9,0.99
46.9,1
47.1,1.12
47.5,1.15
47.6,1.24
47.9,1.22
48.3,1.38
48.5,1.13
48.6,1.2
48.7,0.84
48.7,1.18
38.2,0.79
41.2,1.03
42.6,0.85
42.7,0.95
43.8,1.16
44.3,1.09
44.4,0.85
45,1.22
45.3,1.2
46.2,1.23
47.4,1.43
47.4,1.45
47.5,1.15
47.6,1.19
47.7,1.24
47.9,1.45
48.5,1.21
48.7,1.49
49.9,1.73
50,1.14
47.6,1.11
48.4,1.46
40.8,0.89
41.5,0.94
43,0.96
43.2,1.17
43.3,0.98
44,1.14
44.1,1.16
45.7,1.22
45.8,1.49
46,1.13
46.9,1.42
47.2,1.47
47.3,1.31
47.9,1.5
48.2,1.48
48.8,1.52
48.9,1.4
49.2,1.35
46,1.43
46.8,1.37
49.7,1.72
51.1,1.84
52.2,2.06
52.5,1.99
52.6,1.89
52.6,2.1
49.2,1.5
42.3,1.09
43.8,1.15
45.4,1.27
45.9,1.31
46.1,1.32
47,1.35
47.1,1.35
47.2,1.35
46.1,1.18
46.7,1.25
47.1,1.34
47.2,1.34
47.4,1.27
47.8,1.31
48,1.38
49.1,1.25
49.2,1.37
49.3,1.46
50.4,1.52
45.5,1.42
46.7,1.37
51.5,1.91
52.3,2.01
52.4,2.26
54.6,2.2
57.8,2.48
47.5,1.58
48.8,1.57
48.9,1.64
50.5,1.88
52.9,2.11
44.7,1.18
44.7,1.18
46.4,1.27
46.4,1.27
47.2,1.55
47.2,1.55
47.8,1.55
47.8,1.55
47.9,1.46
47.9,1.58
47.9,1.46
47.9,1.58
48.6,1.47
48.7,1.45
48.7,1.45
49,1.65
49,1.65
49.7,1.65
49.7,1.65
50.5,1.72
50.6,2.06
50.6,2.06
51.4,1.7
51.4,1.7
51.5,1.93
51.5,1.93
51.6,1.82
51.6,1.82
51.7,2.03
51.7,2.03
52.1,1.95
52.1,1.95
53.7,1.77
46,1.29
52.2,1.85
52.8,1.73
52.8,1.89
53.8,2.19
54,2
54.3,2.11
55.3,1.98
56.2,2.2
59.2,2.71
37.1,0.7
38.8,0.8
39.3,0.88
42.4,1.01
43.2,1.1
46,1.35
46.2,1.37
46.9,1.31
48.5,1.51
48.5,1.52
49.2,1.69
49.7,1.49
49.7,1.51
49.8,1.82
51.3,1.62
51.1,1.73
51.6,1.8
46.7,1.46
48.1,1.37
49,1.59
51.7,1.87
52.8,2.27
54.1,2.21
46.2,1.38
46.9,1.44
47,1.57
47.4,1.43
47.9,1.54
48.3,1.2
49,1.45
49.3,1.6
49.9,1.9
50.4,1.46
50.5,1.67
50.8,1.96
51.5,1.97
51.5,2.04
52.6,1.98
53.4,2.13
54.1,2.04
54.7,1.89
55.6,2.24
46.2,1.52
46.7,1.45
47,1.35
47.1,1.58
47.2,1.48
47.3,1.25
47.5,1.59
47.8,1.41
48.2,1.53
48.3,1.45
48.8,1.66
49.2,1.59
49.6,1.42
49.8,1.5
49.8,1.76
50.2,1.68
50.2,1.46
50.5,1.68
50.7,1.53
51.2,1.6
51.3,1.6
51.9,1.58
52.2,2.08
52.3,1.92
52.4,1.71
53,2.21
53.1,1.73
53.1,1.81
53.2,1.89
53.9,2.02
55.8,2.22
59.6,2.35
60.8,2.75
62.4,3.3
63.5,3.1
68.6,3.74
50.2,1.93
50.8,1.96
51.4,1.8
51.5,1.77
53,1.62
54.9,2.1
56.6,2.42
47.2,1.61
48.2,1.6
48.6,1.75
49.8,1.76
50.1,1.92
50.7,2.15
50.8,1.96
50.9,2.16
51,1.97
51,1.99
51.4,1.99
51.9,2.01
52,2.01
52,2.09
55.2,2.44
46.7,1
47.9,1.06
47,1.23
50.4,1.38
52.6,1.37
53.6,1.74
54.5,1.86
56,2.06
56.7,1.96
57.6,1.73
60.8,1.33
61.4,2.71
34.9,0.4
47.8,1.35
48,1.02
48.5,1.22
49.3,1.37
50.2,1.27
50.3,1.27
50.4,1.21
51.6,1.44
52.7,1.47
53,1.46
53.4,1.8
55.1,1.78
55.3,1.39
55.4,1.55
56.3,1.98
47.4,1.46
48.9,1.51
49.1,1.51
50.8,1.8
51.3,1.56
52.2,2.04
52.4,1.62
53.2,1.5
53.2,1.6
56.1,2.1
49,1.55
51.2,1.45
51.7,1.88
56.4,2.05
57,1.95
57.6,1.94
57.7,2.2
58.4,2.36
49,1.47
49.4,1.62
49.5,1.66
50.2,1.62
51.3,1.69
51.4,1.75
52,1.87
